Provinsi;Tahun;Bulan;Kunjungan
LAMPUNG;2021;8;602800
KEP. BANGKA BELITUNG;2021;8;62355
KEP. RIAU;2021;8;40978
DKI JAKARTA;2021;8;2149334
JAWA BARAT;2021;8;6941962
JAWA TENGAH;2021;8;10234832
DI YOGYAKARTA;2021;8;1283886
JAWA TIMUR;2021;8;9608471
BANTEN;2021;8;2654678
BALI;2021;8;575592
NUSA TENGGARA BARAT;2021;8;232826
NUSA TENGGARA TIMUR;2021;8;218815
KALIMANTAN BARAT;2021;8;186790
KALIMANTAN TENGAH;2021;8;130487
KALIMANTAN SELATAN;2021;8;265638
KALIMANTAN TIMUR;2021;8;155570
KALIMANTAN UTARA;2021;8;17571
SULAWESI UTARA;2021;8;237457
SULAWESI TENGAH;2021;8;131074
SULAWESI SELATAN;2021;8;723167
SULAWESI TENGGARA;2021;8;179936
GORONTALO;2021;8;85478
SULAWESI BARAT;2021;8;80028
MALUKU;2021;8;38200
MALUKU UTARA;2021;8;46619
PAPUA BARAT;2021;8;29913
PAPUA BARAT DAYA;2021;8;0
PAPUA;2021;8;48378
PAPUA SELATAN;2021;8;0
PAPUA TENGAH;2021;8;0
PAPUA PEGUNUNGAN;2021;8;0
INDONESIA;2021;8;40358586
ACEH;2021;9;440652
SUMATERA UTARA;2021;9;1329028
SUMATERA BARAT;2021;9;717460
RIAU;2021;9;480952
JAMBI;2021;9;234360
SUMATERA SELATAN;2021;9;554767
BENGKULU;2021;9;139828
LAMPUNG;2021;9;749160
KEP. BANGKA BELITUNG;2021;9;80206
KEP. RIAU;2021;9;73747
DKI JAKARTA;2021;9;2914875
JAWA BARAT;2021;9;8993185
JAWA TENGAH;2021;9;12699513
DI YOGYAKARTA;2021;9;1879850
JAWA TIMUR;2021;9;12421768
BANTEN;2021;9;3508920
BALI;2021;9;768756
NUSA TENGGARA BARAT;2021;9;253597
NUSA TENGGARA TIMUR;2021;9;277164
KALIMANTAN BARAT;2021;9;201094
KALIMANTAN TENGAH;2021;9;151033
KALIMANTAN SELATAN;2021;9;323585
KALIMANTAN TIMUR;2021;9;207404
KALIMANTAN UTARA;2021;9;22787
SULAWESI UTARA;2021;9;290810
SULAWESI TENGAH;2021;9;157759
SULAWESI SELATAN;2021;9;824543
SULAWESI TENGGARA;2021;9;214553
GORONTALO;2021;9;97555
SULAWESI BARAT;2021;9;90870
MALUKU;2021;9;46237
MALUKU UTARA;2021;9;51543
PAPUA BARAT;2021;9;42337
PAPUA BARAT DAYA;2021;9;0
PAPUA;2021;9;90643
PAPUA SELATAN;2021;9;0
PAPUA TENGAH;2021;9;0
PAPUA PEGUNUNGAN;2021;9;0
INDONESIA;2021;9;51330541
ACEH;2021;10;490983
SUMATERA UTARA;2021;10;1641459
SUMATERA BARAT;2021;10;829981
RIAU;2021;10;542388
JAMBI;2021;10;277376
SUMATERA SELATAN;2021;10;624377
BENGKULU;2021;10;160489
LAMPUNG;2021;10;835530
KEP. BANGKA BELITUNG;2021;10;109459
KEP. RIAU;2021;10;88509
DKI JAKARTA;2021;10;3590483
JAWA BARAT;2021;10;10796398
JAWA TENGAH;2021;10;15670718
DI YOGYAKARTA;2021;10;2749665
JAWA TIMUR;2021;10;15355312
BANTEN;2021;10;4154690
BALI;2021;10;1023186
NUSA TENGGARA BARAT;2021;10;300825
NUSA TENGGARA TIMUR;2021;10;310030
KALIMANTAN BARAT;2021;10;236697
KALIMANTAN TENGAH;2021;10;182649
KALIMANTAN SELATAN;2021;10;415035
KALIMANTAN TIMUR;2021;10;243553
KALIMANTAN UTARA;2021;10;29487
SULAWESI UTARA;2021;10;340274
SULAWESI TENGAH;2021;10;187825
SULAWESI SELATAN;2021;10;960245
SULAWESI TENGGARA;2021;10;237909
GORONTALO;2021;10;104446
SULAWESI BARAT;2021;10;91955
MALUKU;2021;10;52031
MALUKU UTARA;2021;10;67386
PAPUA BARAT;2021;10;40861
PAPUA BARAT DAYA;2021;10;0
PAPUA;2021;10;79326
PAPUA SELATAN;2021;10;0
PAPUA TENGAH;2021;10;0
PAPUA PEGUNUNGAN;2021;10;0
INDONESIA;2021;10;62821537
ACEH;2021;11;445046
SUMATERA UTARA;2021;11;1433761
SUMATERA BARAT;2021;11;733146
RIAU;2021;11;503440
JAMBI;2021;11;247704
SUMATERA SELATAN;2021;11;568239
BENGKULU;2021;11;138376
LAMPUNG;2021;11;760453
KEP. BANGKA BELITUNG;2021;11;101097
KEP. RIAU;2021;11;85577
DKI JAKARTA;2021;11;3503961
JAWA BARAT;2021;11;9236395
JAWA TENGAH;2021;11;16327544
DI YOGYAKARTA;2021;11;2831810
JAWA TIMUR;2021;11;15619037
BANTEN;2021;11;3955307
BALI;2021;11;1025748
NUSA TENGGARA BARAT;2021;11;272499
NUSA TENGGARA TIMUR;2021;11;283321
KALIMANTAN BARAT;2021;11;199557
KALIMANTAN TENGAH;2021;11;153217
KALIMANTAN SELATAN;2021;11;373463
KALIMANTAN TIMUR;2021;11;221625
KALIMANTAN UTARA;2021;11;24119
SULAWESI UTARA;2021;11;333070
SULAWESI TENGAH;2021;11;168918
SULAWESI SELATAN;2021;11;842440
SULAWESI TENGGARA;2021;11;220257
GORONTALO;2021;11;93069
SULAWESI BARAT;2021;11;86912
MALUKU;2021;11;51355
MALUKU UTARA;2021;11;51408
PAPUA BARAT;2021;11;33842
PAPUA BARAT DAYA;2021;11;0
PAPUA;2021;11;63345
PAPUA SELATAN;2021;11;0
PAPUA TENGAH;2021;11;0
PAPUA PEGUNUNGAN;2021;11;0
INDONESIA;2021;11;60989058
ACEH;2021;12;615908
SUMATERA UTARA;2021;12;2256408
SUMATERA BARAT;2021;12;1084422
RIAU;2021;12;735090
JAMBI;2021;12;367540
SUMATERA SELATAN;2021;12;796983
BENGKULU;2021;12;210851
LAMPUNG;2021;12;1089221
KEP. BANGKA BELITUNG;2021;12;140399
KEP. RIAU;2021;12;122247
DKI JAKARTA;2021;12;4513926
JAWA BARAT;2021;12;11284591
JAWA TENGAH;2021;12;17809415
DI YOGYAKARTA;2021;12;3437656
JAWA TIMUR;2021;12;19245908
BANTEN;2021;12;3484770
BALI;2021;12;1318502
NUSA TENGGARA BARAT;2021;12;329405
NUSA TENGGARA TIMUR;2021;12;591838
KALIMANTAN BARAT;2021;12;341346
KALIMANTAN TENGAH;2021;12;245330
KALIMANTAN SELATAN;2021;12;473090
KALIMANTAN TIMUR;2021;12;378506
KALIMANTAN UTARA;2021;12;36413
SULAWESI UTARA;2021;12;403468
SULAWESI TENGAH;2021;12;243526
SULAWESI SELATAN;2021;12;1091834
SULAWESI TENGGARA;2021;12;293377
GORONTALO;2021;12;122720
SULAWESI BARAT;2021;12;109793
MALUKU;2021;12;68109
MALUKU UTARA;2021;12;73794
PAPUA BARAT;2021;12;55063
PAPUA BARAT DAYA;2021;12;0
PAPUA;2021;12;114802
PAPUA SELATAN;2021;12;0
PAPUA TENGAH;2021;12;0
PAPUA PEGUNUNGAN;2021;12;0
INDONESIA;2021;12;73486251
ACEH;2022;1;526417
SUMATERA UTARA;2022;1;2022964
SUMATERA BARAT;2022;1;926043
RIAU;2022;1;636543
JAMBI;2022;1;302504
SUMATERA SELATAN;2022;1;650971
BENGKULU;2022;1;180768
LAMPUNG;2022;1;878496
KEP. BANGKA BELITUNG;2022;1;122602
KEP. RIAU;2022;1;93349
DKI JAKARTA;2022;1;3619251
JAWA BARAT;2022;1;9395919
JAWA TENGAH;2022;1;14173348
DI YOGYAKARTA;2022;1;2796450
JAWA TIMUR;2022;1;19124849
BANTEN;2022;1;2477846
BALI;2022;1;991643
NUSA TENGGARA BARAT;2022;1;264251
NUSA TENGGARA TIMUR;2022;1;498022
KALIMANTAN BARAT;2022;1;270324
KALIMANTAN TENGAH;2022;1;196995
KALIMANTAN SELATAN;2022;1;401029
KALIMANTAN TIMUR;2022;1;310053
KALIMANTAN UTARA;2022;1;26920
SULAWESI UTARA;2022;1;327133
SULAWESI TENGAH;2022;1;195589
SULAWESI SELATAN;2022;1;930906
SULAWESI TENGGARA;2022;1;243982
GORONTALO;2022;1;104369
SULAWESI BARAT;2022;1;86174
MALUKU;2022;1;41334
MALUKU UTARA;2022;1;60617
PAPUA BARAT;2022;1;35776
PAPUA BARAT DAYA;2022;1;0
PAPUA;2022;1;71001
PAPUA SELATAN;2022;1;0
PAPUA TENGAH;2022;1;0
PAPUA PEGUNUNGAN;2022;1;0
INDONESIA;2022;1;62984438
ACEH;2022;2;501651
SUMATERA UTARA;2022;2;1636066
SUMATERA BARAT;2022;2;814741
RIAU;2022;2;581783
JAMBI;2022;2;255285
SUMATERA SELATAN;2022;2;538004
BENGKULU;2022;2;137886
LAMPUNG;2022;2;694763
KEP. BANGKA BELITUNG;2022;2;99338
KEP. RIAU;2022;2;75268
DKI JAKARTA;2022;2;2756201
JAWA BARAT;2022;2;7153882
JAWA TENGAH;2022;2;13040775
DI YOGYAKARTA;2022;2;2361262
JAWA TIMUR;2022;2;19184354
BANTEN;2022;2;1976399
BALI;2022;2;746026
NUSA TENGGARA BARAT;2022;2;233313
NUSA TENGGARA TIMUR;2022;2;279400
KALIMANTAN BARAT;2022;2;235449
KALIMANTAN TENGAH;2022;2;175867
KALIMANTAN SELATAN;2022;2;352761
KALIMANTAN TIMUR;2022;2;256145
KALIMANTAN UTARA;2022;2;23240
SULAWESI UTARA;2022;2;260815
SULAWESI TENGAH;2022;2;173663
SULAWESI SELATAN;2022;2;803391
SULAWESI TENGGARA;2022;2;220654
GORONTALO;2022;2;88530
SULAWESI BARAT;2022;2;83763
MALUKU;2022;2;35725
MALUKU UTARA;2022;2;55228
PAPUA BARAT;2022;2;30984
PAPUA BARAT DAYA;2022;2;0
PAPUA;2022;2;63721
PAPUA SELATAN;2022;2;0
PAPUA TENGAH;2022;2;0
PAPUA PEGUNUNGAN;2022;2;0
INDONESIA;2022;2;55926333
ACEH;2022;3;585675
SUMATERA UTARA;2022;3;1846809
SUMATERA BARAT;2022;3;1007630
RIAU;2022;3;673534
JAMBI;2022;3;313009
SUMATERA SELATAN;2022;3;691513
BENGKULU;2022;3;172874
LAMPUNG;2022;3;866807
KEP. BANGKA BELITUNG;2022;3;142414
KEP. RIAU;2022;3;105778
DKI JAKARTA;2022;3;4586681
JAWA BARAT;2022;3;10560424
JAWA TENGAH;2022;3;15805048
DI YOGYAKARTA;2022;3;2570708
JAWA TIMUR;2022;3;27190607
BANTEN;2022;3;3158598
BALI;2022;3;1216580
NUSA TENGGARA BARAT;2022;3;441171
NUSA TENGGARA TIMUR;2022;3;440468
KALIMANTAN BARAT;2022;3;250992
KALIMANTAN TENGAH;2022;3;210680
KALIMANTAN SELATAN;2022;3;429164
KALIMANTAN TIMUR;2022;3;332387
KALIMANTAN UTARA;2022;3;28683
SULAWESI UTARA;2022;3;347157
SULAWESI TENGAH;2022;3;609507
SULAWESI SELATAN;2022;3;3267252
SULAWESI TENGGARA;2022;3;1495127
GORONTALO;2022;3;151616
SULAWESI BARAT;2022;3;425016
MALUKU;2022;3;49734
MALUKU UTARA;2022;3;141231
PAPUA BARAT;2022;3;37297
PAPUA BARAT DAYA;2022;3;0
PAPUA;2022;3;76243
PAPUA SELATAN;2022;3;0
PAPUA TENGAH;2022;3;0
PAPUA PEGUNUNGAN;2022;3;0
INDONESIA;2022;3;80228414
ACEH;2022;4;434633
SUMATERA UTARA;2022;4;1658463
SUMATERA BARAT;2022;4;838560
RIAU;2022;4;597000
JAMBI;2022;4;310853
SUMATERA SELATAN;2022;4;725485
BENGKULU;2022;4;160737
LAMPUNG;2022;4;934561
KEP. BANGKA BELITUNG;2022;4;125002
KEP. RIAU;2022;4;104207
DKI JAKARTA;2022;4;3999014
JAWA BARAT;2022;4;7649342
JAWA TENGAH;2022;4;6012461
DI YOGYAKARTA;2022;4;1161028
JAWA TIMUR;2022;4;12078225
BANTEN;2022;4;2469664
BALI;2022;4;1015904
NUSA TENGGARA BARAT;2022;4;266829
NUSA TENGGARA TIMUR;2022;4;222175
KALIMANTAN BARAT;2022;4;230254
KALIMANTAN TENGAH;2022;4;204164
KALIMANTAN SELATAN;2022;4;325854
KALIMANTAN TIMUR;2022;4;306368
KALIMANTAN UTARA;2022;4;26925
SULAWESI UTARA;2022;4;349618
SULAWESI TENGAH;2022;4;691868
SULAWESI SELATAN;2022;4;3768595
SULAWESI TENGGARA;2022;4;1585129
GORONTALO;2022;4;140420
SULAWESI BARAT;2022;4;516032
MALUKU;2022;4;57885
MALUKU UTARA;2022;4;152337
PAPUA BARAT;2022;4;34020
PAPUA BARAT DAYA;2022;4;0
PAPUA;2022;4;69361
PAPUA SELATAN;2022;4;0
PAPUA TENGAH;2022;4;0
PAPUA PEGUNUNGAN;2022;4;0
INDONESIA;2022;4;49222973
ACEH;2022;5;935025
SUMATERA UTARA;2022;5;2896949
SUMATERA BARAT;2022;5;1655583
RIAU;2022;5;897026
JAMBI;2022;5;449078
SUMATERA SELATAN;2022;5;970391
BENGKULU;2022;5;293433
LAMPUNG;2022;5;1412731
KEP. BANGKA BELITUNG;2022;5;183098
KEP. RIAU;2022;5;138874
DKI JAKARTA;2022;5;5358565
JAWA BARAT;2022;5;14288645
JAWA TENGAH;2022;5;10124919
DI YOGYAKARTA;2022;5;2758594
JAWA TIMUR;2022;5;19934247
BANTEN;2022;5;4021101
BALI;2022;5;1368766
NUSA TENGGARA BARAT;2022;5;431606
NUSA TENGGARA TIMUR;2022;5;281871
KALIMANTAN BARAT;2022;5;365089
KALIMANTAN TENGAH;2022;5;255832
KALIMANTAN SELATAN;2022;5;620601
KALIMANTAN TIMUR;2022;5;483121
KALIMANTAN UTARA;2022;5;30226
SULAWESI UTARA;2022;5;503507
SULAWESI TENGAH;2022;5;817447
SULAWESI SELATAN;2022;5;4619651
SULAWESI TENGGARA;2022;5;1592211
GORONTALO;2022;5;189314
SULAWESI BARAT;2022;5;611768
MALUKU;2022;5;56722
MALUKU UTARA;2022;5;166862
PAPUA BARAT;2022;5;38551
PAPUA BARAT DAYA;2022;5;0
PAPUA;2022;5;77379
PAPUA SELATAN;2022;5;0
PAPUA TENGAH;2022;5;0
PAPUA PEGUNUNGAN;2022;5;0
INDONESIA;2022;5;78828783
ACEH;2022;6;566361
SUMATERA UTARA;2022;6;1987624
SUMATERA BARAT;2022;6;988346
RIAU;2022;6;692293
JAMBI;2022;6;316554
SUMATERA SELATAN;2022;6;679215
BENGKULU;2022;6;173024
LAMPUNG;2022;6;866263
KEP. BANGKA BELITUNG;2022;6;135070
KEP. RIAU;2022;6;147934
DKI JAKARTA;2022;6;5251021
JAWA BARAT;2022;6;10403291
JAWA TENGAH;2022;6;6985364
DI YOGYAKARTA;2022;6;2141729
JAWA TIMUR;2022;6;14691026
BANTEN;2022;6;3150313
BALI;2022;6;1374366
NUSA TENGGARA BARAT;2022;6;347975
NUSA TENGGARA TIMUR;2022;6;283506
KALIMANTAN BARAT;2022;6;271558
KALIMANTAN TENGAH;2022;6;220878
KALIMANTAN SELATAN;2022;6;432460
KALIMANTAN TIMUR;2022;6;454319
KALIMANTAN UTARA;2022;6;30204
SULAWESI UTARA;2022;6;394131
SULAWESI TENGAH;2022;6;597158
SULAWESI SELATAN;2022;6;2492319
SULAWESI TENGGARA;2022;6;1050720
GORONTALO;2022;6;130595
SULAWESI BARAT;2022;6;409575
MALUKU;2022;6;51382
MALUKU UTARA;2022;6;140421
PAPUA BARAT;2022;6;39956
PAPUA BARAT DAYA;2022;6;0
PAPUA;2022;6;81989
PAPUA SELATAN;2022;6;0
PAPUA TENGAH;2022;6;0
PAPUA PEGUNUNGAN;2022;6;0
INDONESIA;2022;6;57978940
ACEH;2022;7;748573
SUMATERA UTARA;2022;7;2216932
SUMATERA BARAT;2022;7;1176922
RIAU;2022;7;795698
JAMBI;2022;7;364514
SUMATERA SELATAN;2022;7;834754
BENGKULU;2022;7;203448
LAMPUNG;2022;7;1043996
KEP. BANGKA BELITUNG;2022;7;146618
KEP. RIAU;2022;7;149456
DKI JAKARTA;2022;7;4623932
JAWA BARAT;2022;7;11576829
JAWA TENGAH;2022;7;7996200
DI YOGYAKARTA;2022;7;2197650
JAWA TIMUR;2022;7;16068542
BANTEN;2022;7;3451864
BALI;2022;7;1288444
NUSA TENGGARA BARAT;2022;7;351214
NUSA TENGGARA TIMUR;2022;7;309202
KALIMANTAN BARAT;2022;7;315667
KALIMANTAN TENGAH;2022;7;257012
KALIMANTAN SELATAN;2022;7;529472
KALIMANTAN TIMUR;2022;7;573460
KALIMANTAN UTARA;2022;7;32132
SULAWESI UTARA;2022;7;436556
SULAWESI TENGAH;2022;7;646673
SULAWESI SELATAN;2022;7;2732814
SULAWESI TENGGARA;2022;7;1231851
GORONTALO;2022;7;140784
SULAWESI BARAT;2022;7;442861
MALUKU;2022;7;48932
MALUKU UTARA;2022;7;157797
PAPUA BARAT;2022;7;39706
PAPUA BARAT DAYA;2022;7;0
PAPUA;2022;7;86039
PAPUA SELATAN;2022;7;0
PAPUA TENGAH;2022;7;0
PAPUA PEGUNUNGAN;2022;7;0
INDONESIA;2022;7;63216544
ACEH;2022;8;531072
SUMATERA UTARA;2022;8;1678953
SUMATERA BARAT;2022;8;905311
RIAU;2022;8;662795
JAMBI;2022;8;285681
SUMATERA SELATAN;2022;8;659155
BENGKULU;2022;8;158883
LAMPUNG;2022;8;772720
KEP. BANGKA BELITUNG;2022;8;117743
KEP. RIAU;2022;8;123680
DKI JAKARTA;2022;8;4521438
JAWA BARAT;2022;8;9433636
JAWA TENGAH;2022;8;6551001
DI YOGYAKARTA;2022;8;1703347
JAWA TIMUR;2022;8;13235419
BANTEN;2022;8;3312882
BALI;2022;8;1152090
NUSA TENGGARA BARAT;2022;8;288102
NUSA TENGGARA TIMUR;2022;8;252218
KALIMANTAN BARAT;2022;8;258920
KALIMANTAN TENGAH;2022;8;223441
KALIMANTAN SELATAN;2022;8;422558
KALIMANTAN TIMUR;2022;8;521964
KALIMANTAN UTARA;2022;8;29288
SULAWESI UTARA;2022;8;352431
SULAWESI TENGAH;2022;8;532060
SULAWESI SELATAN;2022;8;2136650
SULAWESI TENGGARA;2022;8;1097809
GORONTALO;2022;8;113456
SULAWESI BARAT;2022;8;373165
MALUKU;2022;8;46979
MALUKU UTARA;2022;8;135693
PAPUA BARAT;2022;8;40948
PAPUA BARAT DAYA;2022;8;0
PAPUA;2022;8;84147
PAPUA SELATAN;2022;8;0
PAPUA TENGAH;2022;8;0
PAPUA PEGUNUNGAN;2022;8;0
INDONESIA;2022;8;52715635
ACEH;2022;9;500673
SUMATERA UTARA;2022;9;1664991
SUMATERA BARAT;2022;9;891560
RIAU;2022;9;677309
JAMBI;2022;9;280278
SUMATERA SELATAN;2022;9;668784
BENGKULU;2022;9;159439
LAMPUNG;2022;9;833337
KEP. BANGKA BELITUNG;2022;9;120832
KEP. RIAU;2022;9;123914
DKI JAKARTA;2022;9;5423854
JAWA BARAT;2022;9;9923223
JAWA TENGAH;2022;9;7168810
DI YOGYAKARTA;2022;9;1798014
JAWA TIMUR;2022;9;12461460
BANTEN;2022;9;3701537
BALI;2022;9;1125727
NUSA TENGGARA BARAT;2022;9;286740
NUSA TENGGARA TIMUR;2022;9;249094
KALIMANTAN BARAT;2022;9;239591
KALIMANTAN TENGAH;2022;9;217319
KALIMANTAN SELATAN;2022;9;399050
KALIMANTAN TIMUR;2022;9;507079
KALIMANTAN UTARA;2022;9;27807
SULAWESI UTARA;2022;9;360004
SULAWESI TENGAH;2022;9;515189
SULAWESI SELATAN;2022;9;1803376
SULAWESI TENGGARA;2022;9;1044426
GORONTALO;2022;9;109350
SULAWESI BARAT;2022;9;318147
MALUKU;2022;9;52568
MALUKU UTARA;2022;9;132686
PAPUA BARAT;2022;9;39159
PAPUA BARAT DAYA;2022;9;0
PAPUA;2022;9;78700
PAPUA SELATAN;2022;9;0
PAPUA TENGAH;2022;9;0
PAPUA PEGUNUNGAN;2022;9;0
INDONESIA;2022;9;53904027
ACEH;2022;10;513056
SUMATERA UTARA;2022;10;1785747
SUMATERA BARAT;2022;10;949081
RIAU;2022;10;692329
JAMBI;2022;10;289153
SUMATERA SELATAN;2022;10;665454
BENGKULU;2022;10;154957
LAMPUNG;2022;10;834108
KEP. BANGKA BELITUNG;2022;10;126635
KEP. RIAU;2022;10;132432
DKI JAKARTA;2022;10;5504491
JAWA BARAT;2022;10;11162878
JAWA TENGAH;2022;10;7918510
DI YOGYAKARTA;2022;10;2078100
JAWA TIMUR;2022;10;15437648
BANTEN;2022;10;4003986
BALI;2022;10;1172441
NUSA TENGGARA BARAT;2022;10;276772
NUSA TENGGARA TIMUR;2022;10;245510
KALIMANTAN BARAT;2022;10;260901
KALIMANTAN TENGAH;2022;10;230067
KALIMANTAN SELATAN;2022;10;449173
KALIMANTAN TIMUR;2022;10;533691
KALIMANTAN UTARA;2022;10;30041
SULAWESI UTARA;2022;10;365860
SULAWESI TENGAH;2022;10;543272
SULAWESI SELATAN;2022;10;1922182
SULAWESI TENGGARA;2022;10;1056378
GORONTALO;2022;10;100365
SULAWESI BARAT;2022;10;311722
MALUKU;2022;10;52357
MALUKU UTARA;2022;10;119219
PAPUA BARAT;2022;10;40627
PAPUA BARAT DAYA;2022;10;0
PAPUA;2022;10;81068
PAPUA SELATAN;2022;10;0
PAPUA TENGAH;2022;10;0
PAPUA PEGUNUNGAN;2022;10;0
INDONESIA;2022;10;60040211
ACEH;2022;11;471520
SUMATERA UTARA;2022;11;1525633
SUMATERA BARAT;2022;11;877671
RIAU;2022;11;640199
JAMBI;2022;11;262087
SUMATERA SELATAN;2022;11;603787
BENGKULU;2022;11;133058
LAMPUNG;2022;11;762778
KEP. BANGKA BELITUNG;2022;11;115001
KEP. RIAU;2022;11;131230
DKI JAKARTA;2022;11;4757430
JAWA BARAT;2022;11;9886282
JAWA TENGAH;2022;11;6403951
DI YOGYAKARTA;2022;11;1679978
JAWA TIMUR;2022;11;14709379
BANTEN;2022;11;3234134
BALI;2022;11;1118730
NUSA TENGGARA BARAT;2022;11;324132
NUSA TENGGARA TIMUR;2022;11;290876
KALIMANTAN BARAT;2022;11;235452
KALIMANTAN TENGAH;2022;11;209125
KALIMANTAN SELATAN;2022;11;416227
KALIMANTAN TIMUR;2022;11;514833
KALIMANTAN UTARA;2022;11;29600
SULAWESI UTARA;2022;11;322748
SULAWESI TENGAH;2022;11;555548
SULAWESI SELATAN;2022;11;1834305
SULAWESI TENGGARA;2022;11;1136194
GORONTALO;2022;11;92496
SULAWESI BARAT;2022;11;310736
MALUKU;2022;11;43671
MALUKU UTARA;2022;11;115762
PAPUA BARAT;2022;11;36457
PAPUA BARAT DAYA;2022;11;0
PAPUA;2022;11;78388
PAPUA SELATAN;2022;11;0
PAPUA TENGAH;2022;11;0
PAPUA PEGUNUNGAN;2022;11;0
INDONESIA;2022;11;53859398
ACEH;2022;12;639922
SUMATERA UTARA;2022;12;2283325
SUMATERA BARAT;2022;12;1307815
RIAU;2022;12;857727
JAMBI;2022;12;351987
SUMATERA SELATAN;2022;12;804851
BENGKULU;2022;12;185142
LAMPUNG;2022;12;1025144
KEP. BANGKA BELITUNG;2022;12;144054
KEP. RIAU;2022;12;185232
DKI JAKARTA;2022;12;5606163
JAWA BARAT;2022;12;12097392
JAWA TENGAH;2022;12;8165328
DI YOGYAKARTA;2022;12;2496730
JAWA TIMUR;2022;12;16432381
BANTEN;2022;12;3639318
BALI;2022;12;1688997
NUSA TENGGARA BARAT;2022;12;579154
NUSA TENGGARA TIMUR;2022;12;497011
KALIMANTAN BARAT;2022;12;345666
KALIMANTAN TENGAH;2022;12;282224
KALIMANTAN SELATAN;2022;12;532388
KALIMANTAN TIMUR;2022;12;638297
KALIMANTAN UTARA;2022;12;39514
SULAWESI UTARA;2022;12;401895
SULAWESI TENGAH;2022;12;575043
SULAWESI SELATAN;2022;12;2287771
SULAWESI TENGGARA;2022;12;1028565
GORONTALO;2022;12;117518
SULAWESI BARAT;2022;12;345542
MALUKU;2022;12;75278
MALUKU UTARA;2022;12;133388
PAPUA BARAT;2022;12;56395
PAPUA BARAT DAYA;2022;12;0
PAPUA;2022;12;111840
PAPUA SELATAN;2022;12;0
PAPUA TENGAH;2022;12;0
PAPUA PEGUNUNGAN;2022;12;0
INDONESIA;2022;12;65958997
