Provinsi;Tahun;Bulan;Kunjungan
PAPUA BARAT;2020;4;9348
PAPUA BARAT DAYA;2020;4;0
PAPUA;2020;4;24783
PAPUA SELATAN;2020;4;0
PAPUA TENGAH;2020;4;0
PAPUA PEGUNUNGAN;2020;4;0
INDONESIA;2020;4;23897105
ACEH;2020;5;258310
SUMATERA UTARA;2020;5;576278
SUMATERA BARAT;2020;5;250931
RIAU;2020;5;249411
JAMBI;2020;5;133020
SUMATERA SELATAN;2020;5;223800
BENGKULU;2020;5;67769
LAMPUNG;2020;5;395199
KEP. BANGKA BELITUNG;2020;5;48428
KEP. RIAU;2020;5;17661
DKI JAKARTA;2020;5;1102095
JAWA BARAT;2020;5;3478828
JAWA TENGAH;2020;5;7558284
DI YOGYAKARTA;2020;5;665050
JAWA TIMUR;2020;5;7672138
BANTEN;2020;5;1372881
BALI;2020;5;261406
NUSA TENGGARA BARAT;2020;5;134465
NUSA TENGGARA TIMUR;2020;5;78698
KALIMANTAN BARAT;2020;5;70612
KALIMANTAN TENGAH;2020;5;75118
KALIMANTAN SELATAN;2020;5;140584
KALIMANTAN TIMUR;2020;5;95763
KALIMANTAN UTARA;2020;5;8536
SULAWESI UTARA;2020;5;58036
SULAWESI TENGAH;2020;5;65852
SULAWESI SELATAN;2020;5;308242
SULAWESI TENGGARA;2020;5;71224
GORONTALO;2020;5;27476
SULAWESI BARAT;2020;5;22014
MALUKU;2020;5;7978
MALUKU UTARA;2020;5;12649
PAPUA BARAT;2020;5;11657
PAPUA BARAT DAYA;2020;5;0
PAPUA;2020;5;26829
PAPUA SELATAN;2020;5;0
PAPUA TENGAH;2020;5;0
PAPUA PEGUNUNGAN;2020;5;0
INDONESIA;2020;5;25547222
ACEH;2020;6;298482
SUMATERA UTARA;2020;6;864667
SUMATERA BARAT;2020;6;562966
RIAU;2020;6;390121
JAMBI;2020;6;183620
SUMATERA SELATAN;2020;6;339725
BENGKULU;2020;6;100775
LAMPUNG;2020;6;559053
KEP. BANGKA BELITUNG;2020;6;53351
KEP. RIAU;2020;6;29392
